Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2015-10-19,255.2987518310547,256.98060565158306,254.1463639090133,256.43555185122875,584300
2015-10-20,254.73028564453125,255.6802207361844,253.7803505528781,254.2008198588991,443200
2015-10-21,250.7048797607422,256.2643207258421,250.47906898086953,255.1119562534961,625700
2015-10-22,261.1152038574219,261.5200854284293,251.35111610437033,252.23877124648868,722000
2015-10-23,265.3509826660156,265.70914805103996,261.7303352911368,263.3888075957726,959000
2015-10-26,262.41552734375,265.0395469358731,261.55125400427664,264.6657936268283,600100
2015-10-27,261.2864074707031,261.73023487698623,259.30866901624614,261.4187620404106,388400
2015-10-28,269.6568603515625,269.66463054283093,261.6135480481602,262.1118858196627,950900
2015-10-29,272.4132080078125,273.2930692896968,267.46110120782834,269.15851966980637,929500
2015-10-30,274.05596923828125,276.0959877022132,271.7745759950009,273.5031454302934,1601900
2015-11-02,276.0805969238281,277.6689950958866,274.0794994211842,275.37203627558273,812200
2015-11-03,279.1172790527344,280.3085896080866,275.0060873556313,275.0060873556313,850900
2015-11-04,277.5755615234375,281.0794187454432,276.4621192646705,279.49879077133164,749300
2015-11-05,278.2061767578125,279.88026042030305,276.5554749485538,277.18616717261875,510700
2015-11-06,277.7390441894531,281.47648174515024,275.4342680601264,280.2696073033445,560900
2015-11-09,272.1874084472656,278.5488422910776,270.3031015287614,276.8047077141194,1278900
2015-11-10,272.73236083984375,273.3786409310612,268.4187418208323,270.373098709661,713300
2015-11-11,272.91143798828125,274.71787603391857,272.35082010384355,274.24289655305455,454500
2015-11-12,269.20513916015625,272.3430358826628,268.6445212556915,269.8124732431561,637000
2015-11-13,267.26641845703125,270.43546807287345,266.65908421043684,268.84704628868406,590600
2015-11-16,274.33636474609375,274.82690842931675,266.7446761069952,267.2741657840567,672700
2015-11-17,275.18511962890625,278.68897620544755,273.1840225034122,274.398690882316,578100
2015-11-18,280.799072265625,281.1338795273769,274.4298452922749,276.1661856919012,535900
2015-11-19,279.6000061035156,281.110559725142,278.71237466516646,280.7212422713631,489500
2015-11-20,282.2240295410156,283.0883267291983,280.93149261661574,281.1417392699311,530100
2015-11-23,282.839111328125,283.8591210881103,281.1416930456204,282.52766213826044,423900
2015-11-24,277.82476806640625,281.44541626752294,277.4899607004788,280.7212913797108,807800
2015-11-25,280.7913513183594,282.06832413060465,277.81695990042135,278.7591253638662,415300
2015-11-27,279.05499267578125,280.3085835464117,276.62563165825446,280.03605655999763,263500
2015-11-30,283.2049865722656,284.10041163802777,279.01592849054884,279.65441458552607,870200
2015-12-01,283.3537902832031,285.7664346388461,282.18661306582123,284.30161229020723,739000
2015-12-02,281.1528015136719,284.66994540628383,278.9673042181587,282.5471278949479,1080100
2015-12-03,275.7320861816406,282.4843851490772,274.2515814034374,281.2780505785407,890900
2015-12-04,282.5940246582031,283.2990165932587,275.48137773524945,277.2282115377762,684100
2015-12-07,278.45025634765625,282.3042496395851,276.6877642255904,281.54441874630356,583000
2015-12-08,273.3350830078125,278.03506147566463,271.4707543907122,276.82872697542444,758300
2015-12-09,269.9118957519531,276.8991826491841,268.78389917481144,272.6300505182799,663500
